ref_term,num_tales
German,1319
Finnish,1112
Latvian,1084
Spanish,1013
Hungarian,929
Greek,872
Lithuanian,861
Jewish,841
French,834
Italian,826
Ukrainian,793
Russian,776
Frisian,771
Estonian,769
Bulgarian,763
Irish,741
Polish,727
Swedish,716
Indian,694
Portuguese,651
Danish,625
Dutch,612
Rumanian,577
Catalan,576
Czech,572
Flemish,571
Egyptian,550
Byelorussian,538
Chinese,522
English,514
Gypsy,497
Slovakian,485
Norwegian,462
Turkish,440
Serbian,435
US-American,422
Moroccan,399
Slovene,390
Japanese,350
Georgian,343
Iranian,340
Croatian,338
Mexican,337
Iraqi,336
Algerian,328
Austrian,326
Lappish,318
Palestinian,315
Livonian,299
Syrian,297
Macedonian,268
Karelian,265
Swiss,257
Sudanese,253
Puerto Rican,245
Maltese,237
South African,237
West Indies,218
Siberian,218
Tunisian,215
Cheremis/Mari,210
Chilean,210
Icelandic,207
Scottish,189
Wepsian,182
Qatar,174
Walloon,167
Brazilian,164
Tadzhik,163
Mongolian,162
Sardinian,159
Sri Lankan,158
Ladinian,158
African American,155
Yakut,154
Kurdish,151
Argentine,147
Mordvinian,146
Sorbian,142
Saudi Arabian,138
Pakistani,138
Dominican,138
Mayan,138
Syrjanian,134
Indonesian,134
Faeroese,133
Armenian,133
Ossetian,131
Albanian,130
Basque,127
East African,126
Uzbek,119
Korean,118
Burmese,117
Chuvash,115
Tatar,114
Lebanese,113
Yemenite,113
Wotian,109
Votyak,107
Namibian,102
Jordanian,99
Malagasy,86
Abkhaz,83
Bosnian,77
Cuban,77
Persian Gulf,73
Libyan,72
Cape Verdian,71
Buryat,70
Kalmyk,70
Kazakh,67
Cambodian,67
Kuwaiti,67
Lydian,66
Oman,65
North American Indian,64
Aramaic,63
Nepalese,59
Adygea,59
South American,58
Central African,57
Australian,56
Filipino,52
Ethiopian,52
Tuva,51
Afghan,45
Somalian,42
Turkmen,42
Dagestan,41
Vietnamese,39
Congolese,37
Guatemalan,36
Panamanian,33
Guinean,32
Azerbaijan,30
Vogul/Mansi,30
Tanzanian,30
Welsh,30
Tibetan,30
North African,30
West African,28
Malaysian,25
Nigerian,24
Udmurt,24
Eritrean,24
Polynesian,23
Bolivian,22
Costa Rican,22
Luxembourg,21
Ghanaian,21
Kara-Kalpak,20
Peruvian,19
Ecuadorian,17
Cameroon,17
Laotian,16
Venezuelan,15
Nicaraguan,15
Uighur,14
Kirghiz,11
Eskimo,11
Colombian,11
Chechen-Ingush,9
Tungus,8
Angolan,8
Thai,8
New Zealand,7
Chad,7
Karachay,6
Ostyak,6
Nenets,6
Niger,6
Swahili,5
Hawaiian,5
Druze,5
Kenyan,4
Uruguayan,4
Benin,4
Mingril,4
Paraguayan,3
Sierra Leone,3
Altaic,3
Togolese,3
Guinea Bissau,2
Kabardin,2
Liberian,2
Mali,2
Zimbabwen,2
Kashubian,2
Guianese,2
Honduran,1
Bashkir,1
Papuan,1
Botswana,1
Ivory Coast,1
Mauritian,1
